Ticker,Order Type,Price Move,Price Move(Actual),Limit,Stop,OrderShares,BoughtShares,SoldShares,BuyTarget,BuyTargetIndicator,BuyPrice,orderPricePct,SellPrice,Profit,Date,OrderTime,BuyTime,SellTime,Fill(m),Hold(m),PassedStop,PrematureReversalBailOut,NumOfIndicators,Indicators,Result
TXN,Short,5 Min,2.0,222.32,223.32,22,0,0,223.07,Q|D,0,45,0,0,2026-01-29,09:30:00,,,,,False,214.40500000000003,3,"D r1, Q r3, Q|D",Cancelled(Order Timed)
GOOGL,Long,40 Min,7.0,333.84,332.84,15,0,0,333.09,M|M|W|W|W|pdl|D|D|D|D|D|D|D,0,35,0,0,2026-01-29,09:32:00,,,,,False,338.93,11,"pdl, D s1, D s2, D s3, W pp1, M r1, M|M|W|W|W|pdl|D|D|D|D|D|D|D, M|M|W|W|W|D|D|D|D|D|D, M|M|W|W|W|D|D|D, M|M|W|W|W|D|D, M|M|W|W|W",Order Rejected
LUV,Short,40 Min,8.0,45.31,46.31,108,108.0,0,46.06,Q|M|W|W,46.06,76,0,0,2026-01-29,09:39:00,09:42:11,,3.19,,False,41.762499999999996,4,"W r4, Q r1, Q|M|W|W, Q|W",Sold(Limit)
HXL,Long,5 Min,3.0,84.78,83.78,59,0,0,84.03,Q|M|M|W|W|W|W|D|D,0,74,0,0,2026-01-29,09:43:00,,,,,False,85.3575,6,"D r2, D r3, W pp1, Q|M|W|W|W|D|D|D, Q|M|M|W|W|W|W|D|D, Q|M|W|W|W",Order Rejected
APP,Short,5 Min,0.0,568.14,569.14,8,0,0,568.89,W|D|D,0,55,0,0,2026-01-29,09:30:00,,,,,False,543.6274999999999,3,"D r3, W|D|D, W|D|D",Cancelled(Order Timed)
HON,Short,5 Min,4.0,227.61,228.61,21,0,0,228.36,Y|M|W|W|W|D,0,48,0,0,2026-01-29,09:30:00,,,,,False,219.01749999999998,3,"D r4, Y|M|W|W|W|D, Y|M|W|W",Cancelled(Order Timed)
INTU,Long,5 Min,0.0,491.78,490.78,10,0,0,491.03,W s3,0,25,0,0,2026-01-29,09:30:00,,,,,False,508.5225,1,W s3,Cancelled(Order Timed)
MU,Long,5 Min,0.0,423.47,422.47,11,0,0,422.72,M|W|pdo|pdc|pdl|D|D|D,0,33,0,0,2026-01-29,09:30:00,,,,,False,435.33,9,"pdo, pdl, D s1, W r1, M r4, M|W|pdo|pdc|pdl|D|D|D, M|W|pdl|D|D|D, M|W|D|D, M|W",Cancelled(Order Timed)
NDAQ,Short,5 Min,0.0,101.03,102.03,49,0,0,101.78,Q|M|W|W|W|W|W|D,0,59,0,0,2026-01-29,09:30:00,,,,,False,96.36605,6,"D r3, D r4, W r2, Q|M|W|W|W|W|D|D, Q|M|W|W|W|W|W|D, Q|M|W|W|W|W",Cancelled(Order Timed)
AVGO,Short,5 Min,3.0,337.94,338.94,14,0,0,338.69,W|pdo|pdc|pdh|D|D|D,0,52,0,0,2026-01-29,09:30:00,,,,,False,327.329075,8,"pdo, pdh, D r1, D r2, W r1, W|pdo|pdc|pdh|D|D|D, W|pdh|D|D|D, W|D|D",Cancelled(Order Timed)
AMD,Short,5 Min,0.0,264.39,265.39,18,0,0,265.14,Q|M|M|D|D,0,34,0,0,2026-01-29,09:30:00,,,,,False,252.23242499999998,6,"D r3, D r4, Q r1, Q|M|D|D|D, Q|M|M|D|D, Q|M",Cancelled(Order Timed)
HYMC,Long,40 Min,7.0,50.29,49.29,101,101.0,0,49.54,M|pdl|D,49.5,74,0,0,2026-01-29,09:37:00,09:46:00,,9.01,,False,51.0325,2,"pdl, M|pdl|D",Sold(Stop)
LITE,Long,5 Min,3.0,377.4,376.4,13,0,0,376.65,W|pdo|pdc|pdl|D|D|D,0,21,0,0,2026-01-29,09:30:00,,,,,False,385.325,7,"pdo, pdl, D s1, W r1, W|pdo|pdc|pdl|D|D|D, W|pdl|D|D|D, W|D|D",Cancelled(Order Timed)
TT,Long,5 Min,1.0,404.19,403.19,12,0,0,403.44,Q|M|M|W|W|W|W|pdh|D|D|D,0,37,0,0,2026-01-29,09:31:00,,,,,False,411.07500000000005,12,"pdc, pdh, D pp1, D r1, W r1, M pp1, Y|M|W|W|W|pdc|pdh|pdl|D|D|D, Q|M|M|W|W|W|W|pdh|D|D|D, Y|M|W|W|W|D|D|D, Q|M|M|W|W|W|W|D|D, Q|Y|M|W|W, Q|Y|M",Cancelled(Order Timed)
LVS,Long,40 Min,26.0,55.16,54.16,91,91.0,0,54.41,Y|M|W,54.38,71,0,0,2026-01-29,09:33:00,09:46:50,,13.84,,False,55.942499999999995,3,"M s4, Y|M|W, Y|M",Sold(Stop)
CHRW,Long,5 Min,1.0,192.93,191.93,25,25.0,0,192.18,Q|Y|M|W|W|D,192.17,45,0,0,2026-01-29,09:34:00,09:46:43,,12.72,,False,196.0925,7,"D r4, W r4, M r4, Q|Y|M|W|W|D, Q|Y|M|W, Q|Y|M, Q|Y",Sold(Stop)
MA,Short,5 Min,0.98,551.94,552.94,9,0,0,552.69,Q|Q|Y|M|M|W|W,0,17,0,0,2026-01-29,09:31:00,,,,,False,531.8725,10,"W r2, W r3, M s1, Y pp1, Q|Q|Y|M|W|W|W, Q|Q|Y|M|M|W|W, Q|Y|M|M|W, Q|Y|M|M, Q|Q|Y|M, Q|Y",Cancelled(Order Timed)
DUOL,Long,5 Min,1.0,136.52,135.52,36,0,0,135.77,W|D|D,0,57,0,0,2026-01-29,09:31:00,,,,,False,138.2075,1,W|D|D,Cancelled(Order Timed)
ETN,Short,5 Min,0.98,361.31,362.31,13,0,0,362.06,Q|M|W|W|W|D|D,0,41,0,0,2026-01-29,09:31:00,,,,,False,351.9275,8,"D r4, W r4, M r2, Q r1, Q|M|W|W|W|D|D, Q|M|W|W|D, Q|M|W, Q|M",Cancelled(Order Timed)
DELL,Short,5 Min,3.0,118.32,119.32,41,0,0,119.07,Y|M|W|W|D|D,0,75,0,0,2026-01-29,09:31:00,,,,,False,113.91749999999999,7,"D r1, W r1, M s1, Y pp1, Y|M|W|W|D|D, Y|M|W, Y|M",Cancelled(Order Timed)
NET,Long,5 Min,1.0,177.31,176.31,28,0,0,176.56,M|W,0,47,0,0,2026-01-29,09:31:00,,,,,False,180.2375,3,"D s1, M s2, M|W",Cancelled(Order Timed)
